x,y
2526,18701
835,11317
2974,21964
2403,19460
2741,26588
2879,25207
1865,15598
2798,22731
509,8403
2255,19142
2996,28249
359,7518
2292,20144
1028,12278
2776,20202
2481,25088
977,12493
2734,19438
774,11169
91,8160
2186,16632
838,12814
1544,18041
475,8272
2610,21714
2220,21505
2250,18949
1705,19784
2701,24098
1689,17622
2335,19217
694,10451
1188,13346
1087,12720
1420,13524
2728,21879
2434,22500
2300,16773
1685,17385
543,11174
333,9773
2363,24116
1748,19093
882,12105
683,10757
2003,17273
2142,22189
1422,15940
833,12526
2209,22613
1936,17630
1447,14041
855,11140
855,12926
2100,20000
2518,18276
1122,12957
2914,24371
2782,26435
2956,25377
2959,26831
2539,24656
2180,20480
471,11123
2387,22801
1666,17522
2557,18495
2035,18026
1534,16327
908,12167
2156,22765
2031,19443
1020,10728
2918,27723
1164,15374
444,9656
85,6267
1545,13284
1051,12890
1836,16190
416,7698
1131,11765
995,12853
2731,23263
2930,26408
1201,11940
1207,14987
2712,20512
2135,17531
2101,18036
423,8215
2375,17148
2215,22015
376,7671
2060,20352
706,10620
1537,12754
2237,23517
1204,13356
2461,20155
2192,16450
1678,18453
55,6823
563,8318
2556,22228
258,8962
1251,13297
2937,27185
821,9141
1315,15664
1406,16869
2962,28596
1320,16570
335,7137
1797,20576
654,12514
2514,22999
1218,16008
1994,17409
600,11015
1758,20067
2682,25720
1430,16267
2036,21367
2136,22068
2962,25553
1988,15455
1463,15197
534,8295
531,8938
47,7132
2494,22890
403,7635
2257,22578
1357,13506
2340,16839
997,13265
2711,25339
1966,20817
471,11266
510,10294
1373,12225
2559,20464
1551,16637
1228,12219
975,11456
1354,13845
452,9456
2565,22733
1853,20462
1989,20770
1490,14954
107,6911
216,9040
32,7789
1506,14352
413,7759
937,14282
2796,19734
1467,13336
1697,17450
1887,20341
139,5984
2428,19845
1647,17003
2476,22659
2372,20678
1340,12986
272,9417
2080,20571
1457,15826
191,7645
1845,18385
2098,16939
2852,25914
895,14054
1871,17216
766,10100
1668,17334
2637,25229
2923,20630
344,8867
2080,19573
1137,13030
300,7109
2334,18374
2271,20572
1551,13916
1556,17218
675,10373
2891,24114
929,12284
2260,18022
551,8721
1954,20337
2396,18184
1089,14935
2747,24203
1730,14555
965,12766
468,10206
1688,15704
2475,19813
1971,20650
1899,20360
2147,17281
1270,15043
1255,16215
2319,19582
2769,26116
206,6760
16,6272
346,9064
2428,20959
1036,13364
1007,11677
2314,16885
532,9152
869,11251
465,9719
2875,26990
1433,15902
795,12481
1249,11665
53,6993
526,10739
759,10922
2925,23362
60,6318
2752,26589
1184,12306
2252,23385
1735,16470
2692,25921
1501,15884
2396,21878
306,7889
2828,22117
785,9032
2573,24457
323,9900
1057,13126
724,10724
188,9043
641,10846
1901,20492
1835,20336
2830,21870
632,12237
2705,20927
1193,14440
1679,16149
846,11949
2807,24951
2219,19315
1364,14266
556,9478
2630,25317
1705,15403
1335,14412
5,7797
53,7204
746,13106
373,9540
2396,21497
2448,20442
343,8311
1714,15342
2228,17626
223,6224
1517,16060
1319,16768
2356,19603
1507,17147
2512,19170
401,8669
2474,20710
2391,19521
1858,19024
1094,12891
1464,16095
1525,16201
2522,23579
2704,21327
2602,20599
1071,11546
2538,22908
1402,16782
211,6514
680,9218
1331,12360
1936,21197
1628,15324
701,9962
241,8255
2681,21304
877,10608
72,8405
959,12801
1152,12962
1323,14454
1781,13977
1796,14325
1033,11549
777,11279
2652,25913
2507,23901
1651,18063
2243,19960
2419,19839
1674,13533
494,10258
937,10479
2546,23742
1060,11445
213,7689
2810,25771
2552,22868
241,7908
1373,13073
883,12563
766,10527
521,8257
492,9807
1076,11335
1442,12550
339,8065
2851,19947
2783,25155
1581,14671
2306,24001
562,10807
1843,19917
2427,20303
951,14527
2588,25303
1850,17648
2486,24324
1226,13885
2359,18966
1012,10372
1021,14378
948,11078
2338,19510
1433,13231
2464,24275
2242,21086
2024,19656
530,10545
1767,19080
718,11004
269,8002
2150,19424
2360,21194
2740,27069
471,8636
2333,19592
1254,14043
946,12071
851,10871
831,12726
785,11494
659,10873
1779,14275
1608,14898
19,6559
777,9906
454,10663
2937,21090
544,8659
1389,14712
175,6510
1309,14653
1375,14731
491,10544
1218,12172
744,9833
701,12319
1770,15912
397,7225
568,9893
1628,15534
1337,13071
2396,17124
957,11867
1309,13421
383,10324
242,8425
2120,17870
2756,24208
2733,26450
832,12287
1660,13482
1781,17991
2462,21170
2748,24662
553,10479
1430,17740
959,10214
2481,18354
802,11320
1915,17336
1916,16220
2592,24366
2260,16423
2202,20255
2949,24283
2663,19775
2625,20670
2091,18882
1225,12990
2780,23729
1730,14828
981,13462
2383,22143
1551,13654
1549,14938
851,12367
1566,16865
655,11699
183,8191
72,7103
2315,22600
2792,20694
411,7359
2664,24128
1363,17539
1936,18584
2664,23730
1641,19402
806,11527
2472,19391
1763,16696
788,11220
573,10305
680,9147
1401,14658
351,7694
68,7413
2364,21549
1074,12411
2605,23499
2728,19111
1866,20774
1702,19792
1438,14395
263,8005
809,12679
1957,15253
766,9492
585,10872
1232,13578
2037,19314
1171,14088
1606,19136
2504,21582
240,7355
2537,24289
490,11308
67,6343
72,7658
983,12380
189,8198
2923,20010
23,6979
2066,22098
2715,21854
2085,15828
1134,13698
718,11337
2940,20847
2081,19162
1738,14942
702,11445
2799,19234
2058,15829
653,11406
600,11060
2486,22752
2850,25052
83,7073
1327,12129
2371,17677
1433,14962
1239,13733
2967,27900
2574,19321
2887,20331
297,9400
2193,20304
2350,19887
2955,28474
119,8709
1036,12141
1270,12940
2193,18433
1132,13162
700,11611
2860,24147
2314,19077
950,13229
2444,22119
2161,19781
2173,18220
1087,12745
1723,14296
670,12098
1740,16031
508,8285
2561,22410
1879,17275
154,6738
964,11272
664,10271
1927,18136
104,6887
780,9869
586,8717
137,6476
2161,16207
1667,15721
2873,27232
418,9921
371,9555
1705,17841
291,8792
943,11165
2338,17394
577,9123
1567,14976
1686,18776
676,10317
1948,20777
1006,11404
2687,18862
386,10231
1463,14588
2815,23447
478,9289
108,7127
485,8171
2171,16337
1094,15517
526,10300
2586,25649
1575,13133
889,12441
989,12770
1261,13878
1889,14585
462,7913
2748,24929
2961,22150
74,8013
2545,24695
1280,13492
2087,17967
485,10551
1773,17576
1100,14934
1947,20012
2796,21904
161,6772
930,13540
215,6907
638,8875
1560,15701
1108,12797
1853,19357
1299,13071
2930,28031
1645,16671
1454,13405
460,9850
743,12105
2044,15245
2058,19317
1483,17380
198,7970
493,8186
1680,16261
354,6805
1263,14894
623,11634
60,6987
1927,20075
1507,14942
2827,22836
574,9049
1361,14667
1418,12325
2398,19612
1556,13967
2924,24167
1863,19312
1151,13537
402,9928
399,8848
2974,27947
2287,16940
431,8997
1496,14359
2013,19668
1478,15795
2005,21706
1842,18384
2803,23297
2478,18319
2356,22502
588,11841
2858,27296
2358,19238
1890,16999
893,10497
2991,23612
2135,22249
99,7163
2358,23103
1674,16288
1108,12301
1022,13757
26,7823
324,9839
2562,22261
1087,13175
1762,18460
2193,20926
2405,22235
2939,23294
2394,17473
2870,19729
2923,27648
978,12787
1892,17366
2415,21613
1213,14174
61,6854
2282,21206
2813,21436
861,11079
1675,16794
1497,13180
2882,20089
2186,16297
301,9335
2498,23801
2290,23835
1972,15143
156,6568
1668,19371
1982,15871
432,9061
856,11760
383,7125
161,7143
1245,11349
386,8733
587,10037
2976,20376
1216,14361
1314,14107
2621,19049
1952,21438
302,9094
395,7809
1114,11737
643,9217
1881,15537
1743,20029
536,10764
180,8496
2961,26276
1287,14215
2435,23280
2422,19918
2939,26087
208,8807
2407,23509
865,9372
2636,23859
2635,22855
969,10950
432,9646
1871,18712
2141,19617
974,13607
732,11364
181,8734
1229,13771
2525,25310
1047,10541
560,10149
2952,23353
2494,22891
2572,23174
1950,18581
734,10379
1669,16937
27,5566
688,11137
2548,23713
907,13820
2244,21177
2269,16803
66,5821
925,10730
369,9052
519,10963
2941,22415
806,13511
2970,23700
338,7327
1451,14726
933,12881
900,14050
1332,14170
1165,12508
1164,13004
1391,13496
2563,22091
1444,16340
2404,20244
29,6655
2686,24109
683,11226
314,7570
1327,14424
831,11191
896,11547
2450,22967
634,11446
2415,22443
497,9653
1691,18069
1986,16820
1343,15113
655,10623
2166,18901
2790,22003
2657,23994
1205,11670
2326,21735
1652,15026
2975,25429
1149,13532
2187,20871
631,10784
2879,19859
1272,15122
2990,21174
643,11353
1532,13531
1356,13164
1771,16211
36,6832
214,7085
1599,13386
2319,17791
1595,17170
2013,18738
2661,25296
224,7526
338,9609
787,9874
801,11022
2665,20425
2034,21729
814,11394
2832,22115
2203,17577
370,7616
781,10584
2973,23630
1952,17716
134,5943
313,9156
1378,15969
349,9905
1110,11812
1194,14282
1119,11808
995,14747
2823,22154
1123,14880
2634,22055
597,9329
589,10852
2544,24216
2883,23531
183,8060
2881,19973
196,8922
174,6590
159,6488
1140,14276
723,11175
2822,19411
487,9883
2299,17960
885,11112
1054,12335
1386,13775
1289,13917
106,5965
19,7675
2201,21712
2457,17847
251,8173
1682,16371
1766,16374
2254,23102
1404,14937
2847,25074
2869,24193
2319,19931
1822,18830
2596,23809
2799,20808
125,6754
2981,20482
624,9420
1739,16447
2140,18257
1376,14803
1507,16121
2690,25423
1332,14722
518,8925
786,12926
1826,20228
1260,14608
2316,22869
1546,12837
836,10826
2420,22245
2178,19526
2702,24843
1314,11605
2187,21153
883,11745
414,8319
953,12164
1346,13166
2159,21735
2621,19716
854,11761
538,8841
2903,27682
371,9057
2512,23029
506,11133
607,10176
2085,18182
2079,21494
2535,24705
2503,23109
2341,18864
1965,19404
1136,15714
932,11636
798,11544
2608,18592
2800,25862
2296,18985
1988,20360
2662,24496
2515,17876
2298,21941
1180,11282
48,6086
1103,11442
311,9280
1560,13180
2806,22455
762,9182
890,13124
1672,16894
2707,22437
2694,25609
2053,20840
2958,26288
120,7241
2129,22874
2240,18556
265,9271
729,11128
2003,16089
2428,23006
1808,16254
1740,18513
1584,13422
812,12987
720,12528
965,12765
1523,16047
134,8461
1621,17545
2241,20996
2154,21146
30,5410
116,8372
2952,26301
1830,19005
1696,15301
2359,19708
592,10249
2774,21386
214,9415
418,8712
1737,17391
2119,20305
1141,14929
1302,13320
2344,21265
2638,24882
2953,27813
2859,23717
2322,21836
1221,13221
2148,21038
2743,23168
2104,19813
1529,17119
2382,21547
2081,22313
774,10859
2323,18112
971,12129
63,5872
1699,17511
2556,21069
1115,13656
2959,27971
1217,15890
271,6670
1474,12437
266,8995
990,12392
2062,18972
301,7344
236,8048
670,9608
2146,19470
2136,16832
2819,19352
620,10960
2998,27618
820,12736
541,8845
441,10182
2846,24946
1944,17056
1102,12779
572,8168
2143,21175
2352,23320
1390,16089
2451,22181
1044,11283
335,7318
2857,20417
329,7643
1385,16137
623,9117
1906,20341
2958,21973
2885,19440
1453,14283
800,13052
1399,14737
1764,18619
2599,20125
911,13442
2708,24104
489,10839
2517,18505
2538,20506
2941,24250
2721,19424
1969,17178
2320,20625
2497,18927
2704,20974
2447,20032
27,5158
2108,19805
1587,13400
1581,13388
1637,17799
2642,22802
684,10953
990,10895
2403,17028
2349,21131
2022,20971
2709,23109
2031,17926
2485,22464
1992,19294
387,8760
1529,16224
367,9376
489,10038
723,10483
646,11151
1804,18656
2291,22115
860,11859
2082,22312
2370,23819
2725,24117
1375,14445
458,10113
2920,24207
2761,24409
2859,26905
2426,21360
1191,14320
291,7565
2295,22831
1644,16152
1571,16546
1577,13063
592,9682
1756,15670
2830,23426
2746,20461
526,8933
1276,14610
735,10755
1790,19257
100,7973
1029,12468
760,13238
2930,25967
1429,16708
1648,18599
1612,16452
2285,21229
2424,19320
670,10817
1230,15008
1686,17750
2924,24343
2213,17651
495,7869
2511,19955
492,9024
1682,17858
2542,21431
249,9182
1133,14604
1527,12759
2065,22278
2965,26162
659,10691
171,7910
335,7792
2636,20911
2499,23380
984,11537
957,11863
1849,16462
2239,19617
1279,14720
363,9794
1959,19639
1268,14302
1481,16425
2864,24834
2875,20030
2552,19705
27,7735
721,12698
2747,23941
1573,17247
2648,26198
282,7043
2110,18948
253,8031
2800,21146
229,6588
664,9299
1545,16528
318,7269
281,8688
2843,24589
2358,19050
996,12406
1774,15872
1120,14075
2609,21085
96,6529
2268,17660
2439,22124
617,8375
259,8039
947,13855
73,6142
1189,14715
1414,13396
293,9208
242,6883
1689,15365
1364,12426
2604,23469
2256,19055
265,6979
469,9661
1371,15586
1521,17193
1053,10583
2956,25953
486,10310
2113,18480
2357,18951
2871,21532
1097,11852
2361,22662
1489,13673
2597,24797
2029,20567
732,12922
2865,26513
1394,17521
1717,18525
